        x1         x2         x3         x4         y1         y2         y3         y4
    144.00     199.44     146.70      77.00     158.00     158.33     227.50     240.00
    199.44     254.89     214.24     146.70     158.33     158.67     220.00     227.50
    254.89     310.33     282.61     214.24     158.67     159.00     213.83     220.00
    310.33     365.78     350.98     282.61     159.00     159.33     210.67     213.83
    365.78     421.22     420.52     350.98     159.33     159.67     208.67     210.67
    421.22     476.67     490.22     420.52     159.67     160.00     207.67     208.67
    476.67     532.11     557.43     490.22     160.00     160.33     209.17     207.67
    532.11     587.56     622.30     557.43     160.33     160.67     211.67     209.17
    587.56     643.00     686.33     622.30     160.67     161.00     216.83     211.67
     77.00     146.70     125.15      48.00     240.00     227.50     284.44     309.00
    146.70     214.24     197.96     125.15     227.50     220.00     269.89     284.44
    214.24     282.61     272.44     197.96     220.00     213.83     258.00     269.89
    282.61     350.98     346.93     272.44     213.83     210.67     252.11     258.00
    350.98     420.52     423.74     346.93     210.67     208.67     248.56     252.11
    420.52     490.22     500.89     423.74     208.67     207.67     247.00     248.56
    490.22     557.43     573.04     500.89     207.67     209.17     250.44     247.00
    557.43     622.30     640.52     573.04     209.17     211.67     255.89     250.44
    622.30     686.33     706.33     640.52     211.67     216.83     266.67     255.89
     48.00     125.15     129.00      50.00     309.00     284.44     344.11     380.00
    125.15     197.96     201.50     129.00     284.44     269.89     323.22     344.11
    197.96     272.44     276.50     201.50     269.89     258.00     306.33     323.22
    272.44     346.93     351.50     276.50     258.00     252.11     298.44     306.33
    346.93     423.74     430.00     351.50     252.11     248.56     294.06     298.44
    423.74     500.89     509.00     430.00     248.56     247.00     292.67     294.06
    500.89     573.04     580.50     509.00     247.00     250.44     298.78     292.67
    573.04     640.52     645.00     580.50     250.44     255.89     307.89     298.78
    640.52     706.33     707.00     645.00     255.89     266.67     325.00     307.89
     50.00     129.00     139.96      62.00     380.00     344.11     390.70     436.00
    129.00     201.50     209.26     139.96     344.11     323.22     365.41     390.70
    201.50     276.50     281.89     209.26     323.22     306.33     345.44     365.41
    276.50     351.50     354.52     281.89     306.33     298.44     337.48     345.44
    351.50     430.00     431.81     354.52     298.44     294.06     334.19     337.48
    430.00     509.00     509.78     431.81     294.06     292.67     334.89     334.19
    509.00     580.50     577.74     509.78     292.67     298.78     345.59     334.89
    580.50     645.00     636.37     577.74     298.78     307.89     360.30     345.59
    645.00     707.00     691.67     636.37     307.89     325.00     385.67     360.30
     62.00     139.96     162.76      89.00     436.00     390.70     432.94     488.00
    139.96     209.26     225.69     162.76     390.70     365.41     402.89     432.94
    209.26     281.89     292.78     225.69     365.41     345.44     379.50     402.89
    281.89     354.52     359.87     292.78     345.44     337.48     371.11     379.50
    354.52     431.81     432.80     359.87     337.48     334.19     368.56     371.11
    431.81     509.78     506.56     432.80     334.19     334.89     371.00     368.56
    509.78     577.74     567.81     506.56     334.89     345.59     385.94     371.00
    577.74     636.37     617.41     567.81     345.59     360.30     405.89     385.94
    636.37     691.67     662.83     617.41     360.30     385.67     439.17     405.89
     89.00     162.76     202.00     136.00     488.00     432.94     466.00     530.00
    162.76     225.69     255.00     202.00     432.94     402.89     432.00     466.00
    225.69     292.78     313.00     255.00     402.89     379.50     406.00     432.00
    292.78     359.87     371.00     313.00     379.50     371.11     398.00     406.00
    359.87     432.80     436.00     371.00     371.11     368.56     397.00     398.00
    432.80     506.56     502.00     436.00     368.56     371.00     402.00     397.00
    506.56     567.81     553.00     502.00     371.00     385.94     422.00     402.00
    567.81     617.41     590.00     553.00     385.94     405.89     448.00     422.00
    617.41     662.83     622.00     590.00     405.89     439.17     490.00     448.00
